id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class
436471536,SiceloNkosi,10.0,454.0,65.0,321.0,0.0,22.0,31.735541460184407,30-39,385.0,4.0,0,2,2,2.0,0.0,2.0,11.0,6.737604053564966,0.0,0.0,0.0,0.0,0,344,4.766339181938244E-5,0.0,6.8570175E-6,131
738165294,tebza_e,10.0,7462.0,369.0,602.0,4.0,4.0,50.76625641237411,50-59,741.0,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,345,4.766339181938244E-5,0.0,0.0,152
246233323,Mashiy_Amahle,10.0,796.0,87.0,350.0,1.0,6.0,31.702255560962605,30-39,590.0,5.0,1,3,4,4.0,1.0,3.0,9.0,4.8175235336712525,0.0,9.91792649757776E-5,0.25,0.6666667,0,59,7.455257925577865E-5,1.3549677E-5,1.3714035E-5,131
870165780,MarieJazvac,10.0,13.0,8.0,76.0,0.0,0.0,14.12024655513843,10-19,18.0,0.0,4,21,25,25.0,4.0,21.0,6.0,2.66183924692252,0.5637927649968149,0.010323272352411903,0.35333333333333333,0.7229437,0,59,6.231471069849715E-5,3.3874192E-5,3.4285087E-5,25
948394051,KenGuilford2,10.0,22.0,1.0,12.0,0.0,0.0,15.670858637579506,10-19,11.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,346,4.766339181938244E-5,0.0,0.0,153
292246560,AndWant,10.0,119.0,42.0,102.0,0.0,0.0,22.35522151917273,20-29,266.0,3.0,8,19,27,27.0,8.0,19.0,7.0,2.715061549601738,259.9955413412087,0.015792271452784532,0.11253561253561253,0.34502923,0,59,8.248658570897066E-5,6.0973543E-5,6.171316E-5,25
477043749,AnnTByrne,10.0,154.0,1.0,5.0,0.0,0.0,10.670858637579528,10-19,21.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,347,4.766339181938244E-5,0.0,0.0,154
51705064,pietleroux,10.0,219.0,117.0,79.0,2.0,4.0,43.396162490855154,40-49,541.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157,348,4.766339181938244E-5,0.0,0.0,155
28980136,CommonSenseNS,10.0,2847.0,208.0,136.0,6.0,6.0,39.25045869743529,30-39,655.0,6.0,13,5,18,18.0,13.0,5.0,7.0,2.939898624185373,90.75622250523631,0.004955314898901885,0.20915032679738563,0.3529412,0,59,1.0576578660684584E-4,9.484774E-5,9.599824E-5,147
31159339,Stephistan,10.0,157.0,78.0,381.0,0.0,21.0,20.89047488482681,20-29,323.0,2.0,8,20,28,28.0,8.0,20.0,6.0,2.7708182476466328,82.84419080957478,0.01118610831488321,0.16005291005291006,0.40238094,0,59,8.903101926478417E-5,6.0973543E-5,6.171316E-5,175
274231222,JackHarrisNDP,10.0,41.0,2820.0,35.0,138.0,4.0,45.05110204370655,40-49,683.0,1.0,299,16,315,315.0,299.0,16.0,7.0,2.948950036205648,2012.2025576122496,0.4325061812737929,0.132433525427156,0.19718926,0,59,0.0016824924595623258,0.0020324516,0.002043391,25
67008429,davidpatry,10.0,8137.0,4293.0,961.0,142.0,3.0,52.045332708978954,50-59,760.0,7.0,111,77,188,188.0,111.0,77.0,7.0,2.5257060101375814,5053.547223014072,0.1782382598155941,0.13013425873250653,0.34094465,0,59,6.333103131200101E-4,7.587819E-4,7.6112896E-4,25
112768200,alexbrassard,10.0,4187.0,1086.0,2001.0,51.0,6.0,52.039578558407435,50-59,710.0,7.0,103,247,350,350.0,103.0,247.0,6.0,2.1314265025343953,13806.252497930309,0.15294203364295728,0.10328284895620139,0.2203021,0,59,4.897658409681449E-4,7.045832E-4,7.062728E-4,25
23622196,pat_costigan,10.0,157.0,165.0,474.0,5.0,0.0,25.014064141312915,20-29,396.0,3.0,67,40,107,107.0,67.0,40.0,7.0,2.5829109341057204,125.5030619325521,0.12757155859253,0.18241932639746075,0.49830246,0,59,3.7065241237174283E-4,4.60689E-4,4.6627718E-4,25
80970676,DevPeace,10.0,1244.0,1059.0,1253.0,54.0,3.0,48.293125124705746,40-49,639.0,5.0,18,17,35,35.0,18.0,17.0,7.0,2.828385228095583,6284.289250520364,0.010388256503625834,0.009243697478991597,0.05882353,0,59,1.6342094285658055E-4,1.2872192E-4,1.3028333E-4,25
19515093,GeorgesAvecLada,10.0,2134.0,412.0,873.0,17.0,1.0,36.80658429468971,30-39,593.0,5.0,2,8,10,10.0,2.0,8.0,7.0,3.2041998551774076,26.47161698721951,0.0012274536611010512,0.022222222222222223,0.05357143,0,59,6.685719971222048E-5,2.0324514E-5,2.0571053E-5,175
265604273,CityThink,10.0,3198.0,466.0,600.0,12.0,14.0,55.71380428869572,50-59,680.0,6.0,9,20,29,29.0,9.0,20.0,7.0,2.759594496741492,118.74283693021638,0.007483658531538883,0.1687192118226601,0.345,0,59,9.057217910287469E-5,6.7748384E-5,6.8570174E-5,175
1158164065,thePeteMartin,10.0,18.0,5.0,24.0,0.0,2.0,18.9329907796173,10-19,57.0,1.0,0,2,2,2.0,0.0,2.0,8.0,3.786102062975027,0.0,0.0,0.5,0.5,0,349,4.766339181938244E-5,0.0,6.8570175E-6,147
269643383,nicpwall,10.0,990.0,134.0,521.0,1.0,9.0,34.40944539085868,30-39,520.0,5.0,11,37,48,48.0,11.0,37.0,6.0,2.5329471397538015,268.22609398846,0.01132691609022648,0.2074468085106383,0.3931475,0,59,8.438657935044257E-5,8.129806E-5,8.228421E-5,175
3847661,matttbastard,10.0,38769.0,4116.0,4528.0,364.0,148.0,52.51757026163986,50-59,782.0,8.0,136,167,303,303.0,136.0,167.0,6.0,2.1929761042722666,17971.67605324868,0.2111049008232382,0.0704216116975936,0.208341,0,59,8.266381558803408E-4,9.281528E-4,9.394114E-4,77
283590835,tek_heretik,10.0,1832.0,109.0,110.0,0.0,0.0,24.572777335576895,20-29,626.0,6.0,13,15,28,28.0,13.0,15.0,6.0,2.5847212165097755,248.2730192185557,0.02422410026373647,0.06878306878306878,0.4047619,0,59,9.335603682203758E-5,9.484774E-5,9.599824E-5,77
23161031,TweetUlrich,10.0,799.0,143.0,162.0,2.0,0.0,40.74494963008579,40-49,597.0,5.0,21,13,34,34.0,21.0,13.0,6.0,2.771180304127444,210.39415862841744,0.019185516512741033,0.11586452762923351,0.36594203,0,59,1.533130156504719E-4,1.4904643E-4,1.5085438E-4,147
153058098,SophieTremblayM,10.0,5540.0,952.0,907.0,41.0,7.0,42.774968685475365,40-49,722.0,7.0,35,41,76,76.0,35.0,41.0,7.0,2.565170166545981,7884.19271950732,0.04223498921592455,0.05894736842105263,0.23140097,0,59,2.5775635492318464E-4,2.4389417E-4,2.4685264E-4,182
554522397,AndreMa40964625,10.0,244.0,11.0,68.0,0.0,10.0,15.151074919613365,10-19,151.0,3.0,0,1,1,1.0,0.0,1.0,7.0,3.5360115816141873,0.0,0.0,0.0,0.0,0,350,4.766339181938244E-5,0.0,6.8570175E-6,175
396745864,GailRhyno,10.0,2834.0,182.0,320.0,4.0,595.0,38.52333666634472,30-39,656.0,6.0,25,39,64,64.0,25.0,39.0,6.0,2.548515568428675,3245.5804680861943,0.03153319424807012,0.09151785714285714,0.33275262,0,59,1.2019518175794025E-4,1.761458E-4,1.7828245E-4,77
96469541,she_et_al,10.0,253.0,94.0,238.0,2.0,8.0,27.02671711512503,20-29,488.0,4.0,3,10,13,13.0,3.0,10.0,7.0,2.8569876900796523,7.074810414634947,0.008392226166362975,0.19230769230769232,0.5555556,0,59,8.08603307559569E-5,2.7099353E-5,2.742807E-5,25
263759179,OctaveDreumont,10.0,17428.0,1010.0,296.0,1.0,737.0,52.18447044430768,50-59,772.0,8.0,3,0,3,3.0,3.0,0.0,0.0,0.0,0.0,2.575730669676588E-4,0.0,0.0,58,144,1.6266577270049508E-4,2.7099353E-5,0.0,166
131968998,nickfaye,10.0,11434.0,889.0,344.0,21.0,0.0,51.06415177444975,50-59,763.0,7.0,7,2,9,9.0,7.0,2.0,7.0,3.228819695872556,10.29736467647756,0.002855121377066014,0.2361111111111111,0.51785713,0,59,6.911049620301658E-5,5.4198706E-5,5.485614E-5,25
29195172,MalcolmQuerney,10.0,430.0,55.0,265.0,0.0,292.0,17.702044017305525,10-19,390.0,4.0,9,30,39,39.0,9.0,30.0,6.0,2.5199131064446054,25.83207060694705,0.021116741553036764,0.1815114709851552,0.47011495,0,59,7.882990208257348E-5,6.7748384E-5,6.8570174E-5,77
623380122,JohnWBabiak_NDP,10.0,32.0,29.0,140.0,0.0,1.0,17.08559983565401,10-19,29.0,2.0,7,46,53,53.0,7.0,46.0,7.0,2.5188269370021725,3.1819586364481927,0.017678437135529346,0.32075471698113206,0.63691026,0,59,8.304293678486396E-5,5.4198706E-5,5.485614E-5,25
381136617,GatewayCaveMan,10.0,633.0,175.0,1764.0,0.0,0.0,23.782363445563533,20-29,580.0,5.0,19,213,232,232.0,19.0,213.0,6.0,2.162563359884142,1114.3834997924591,0.03966491802032283,0.15451933124346917,0.26654264,0,59,1.2099866091234533E-4,1.3549677E-4,1.3714035E-4,175
