id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,knowledge_count
271284946,KSeesequasis,10.0,1596.0,658.0,889.0,16.0,18.0,44.450365137403644,40-49,647.0,6.0,43,45,88,88.0,43.0,45.0,7.0,2.379979912956143,6117.020505078462,0.08619772443469151,0.021290491118077324,0.104489796,0,135,8.23650155924449E-4,4.793232E-4,4.8554887E-4,73,24,1
272809054,ALYS_tweet,10.0,365.0,228.0,306.0,5.0,7.0,22.762194238279385,20-29,529.0,4.0,18,17,35,35.0,18.0,17.0,7.0,2.6156678942082356,291.83840676575284,0.03322097989083359,0.05042016806722689,0.17028986,0,135,3.7939091882140206E-4,1.9772082E-4,2.0028891E-4,73,0,4
49731022,dydhillier,10.0,2721.0,859.0,157.0,24.0,92.0,47.92592790753077,40-49,710.0,5.0,7,1,8,8.0,7.0,1.0,2.0,1.8,15505.0,6.424488042385511E-4,0.14285714285714285,0.35714287,0,92,5.269107302787436E-4,4.793232E-5,4.8554884E-5,53,25,0
1207063184,IggyPosh,10.0,126.0,64.0,206.0,0.0,89.0,40.89479072313165,40-49,509.0,4.0,2,2,4,4.0,2.0,2.0,2.0,1.75,0.0,1.720745070324517E-4,0.08333333333333333,1.0,285,522,1.6694256032227025E-4,1.797462E-5,1.8208082E-5,376,13,0
497084291,savingthepeace,10.0,2532.0,113.0,138.0,1.0,7.0,45.322271240394976,40-49,619.0,6.0,11,19,30,30.0,11.0,19.0,7.0,2.643120187479076,243.59295178683354,0.02290106216231061,0.022988505747126436,0.06842105,0,135,2.069559607032301E-4,1.3780541E-4,1.395953E-4,469,19,0
272573393,BevJD24,10.0,2146.0,61.0,60.0,4.0,7.0,19.485850811416583,10-19,518.0,6.0,3,2,5,5.0,3.0,2.0,7.0,2.8881821225309676,5.622595206699138,0.008581696487405383,0.05,0.083333336,0,135,1.0208286349051504E-4,4.793232E-5,4.8554884E-5,73,1,1
443655020,CoyoteDreams,10.0,4002.0,211.0,259.0,4.0,916.0,33.19054983153956,30-39,648.0,7.0,9,7,16,16.0,9.0,7.0,7.0,2.772681620354871,357.1977803804223,0.01907883484905799,0.07083333333333333,0.15384616,0,135,1.7985924471655387E-4,1.0185618E-4,1.0317913E-4,263,2,0
49336963,dpbaril,10.0,212.0,40.0,61.0,0.0,3.0,33.22133558196174,30-39,407.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398,686,5.5712890053363746E-5,0.0,0.0,401,9,0
1100601469,CannondaleBram,10.0,32.0,18.0,26.0,0.0,0.0,20.991919039499308,20-29,109.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,687,5.5712890053363746E-5,0.0,0.0,402,1,0
15395122,stint,10.0,2507.0,327.0,441.0,9.0,54.0,50.19155410025206,50-59,659.0,6.0,19,21,40,40.0,19.0,21.0,6.0,2.677268162035487,730.7902074983724,0.030012532522124744,0.046153846153846156,0.17384616,0,135,3.775473078621577E-4,1.6177158E-4,1.6387274E-4,53,1,2
416324285,HeritageFFA,10.0,275.0,85.0,21.0,0.0,0.0,31.445495767350103,30-39,493.0,2.0,1,1,2,2.0,1.0,1.0,2.0,1.5,0.0,7.645535613750089E-5,0.0,0.0,396,684,2.8615258338760767E-4,1.198308E-5,1.2138721E-5,403,6,0
449955557,brynnbeard,10.0,4325.0,119.0,328.0,2.0,601.0,50.503430746103824,50-59,657.0,7.0,2,2,4,4.0,2.0,2.0,7.0,2.897221292266488,132.3095356736055,0.0022822604490623697,0.0,0.0,0,135,1.405179082790052E-4,2.396616E-5,2.4277442E-5,263,25,0
20880992,Kalohamora,10.0,958.0,178.0,710.0,0.0,41.0,27.932020436774785,20-29,510.0,5.0,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,688,5.5712890053363746E-5,0.0,6.0693606E-6,440,2,0
53720659,cansciencetwit,10.0,528.0,178.0,264.0,20.0,7.0,31.622778320885175,30-39,470.0,4.0,5,3,8,8.0,5.0,3.0,7.0,3.0515567458988953,14.844906417292405,0.0019952667317417834,0.10714285714285714,0.55,0,135,2.544168030325575E-4,3.594924E-5,3.6416164E-5,309,1,0
431323952,MajaRabasovic,10.0,6637.0,176.0,496.0,2.0,893.0,38.23550360242674,30-39,727.0,7.0,3,3,6,6.0,3.0,3.0,7.0,3.2919317040508873,46.72971780244882,0.004731797357870867,0.03333333333333333,0.16666667,0,135,1.931824465098262E-4,3.594924E-5,3.6416164E-5,263,16,0
285343383,asham520,10.0,869.0,19.0,173.0,0.0,2.0,27.202327664661297,20-29,488.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,689,5.5712890053363746E-5,0.0,0.0,404,0,0
543394473,crvallotton,10.0,2904.0,503.0,1411.0,8.0,45.0,50.03441667094784,50-59,693.0,7.0,9,21,30,30.0,9.0,21.0,7.0,2.3552058921995314,236.74256928131473,0.04672281579883262,0.040229885057471264,0.10869565,0,135,1.5529180729688418E-4,1.9772082E-4,2.0028891E-4,263,37,0
143241913,Arifin17,10.0,779.0,144.0,403.0,2.0,1.0,34.06229982518809,30-39,545.0,5.0,8,19,27,27.0,8.0,19.0,7.0,2.4757281553398056,972.7307175490586,0.02730394447138902,0.027065527065527065,0.07368421,0,135,2.0021468310950951E-4,1.0784772E-4,1.0924849E-4,469,7,0
447436221,jessi_jaja,10.0,571.0,188.0,396.0,0.0,36.0,22.86138747619016,20-29,515.0,5.0,10,11,21,21.0,10.0,11.0,7.0,2.7502510880482087,834.5354532021048,0.008012515951299374,0.06904761904761905,0.37878788,0,135,3.680912788283941E-4,7.189848E-5,7.283233E-5,309,1,0
215108502,GGeorgieGirl,10.0,3921.0,208.0,273.0,13.0,4.0,34.63446818084843,30-39,659.0,6.0,7,6,13,13.0,7.0,6.0,7.0,2.469032474054235,227.08052895065717,0.07296696579273067,0.00641025641025641,0.04761905,0,135,1.7674861167935366E-4,2.4565315E-4,2.4884377E-4,469,4,0
20722511,EmmaJean_,10.0,12536.0,236.0,139.0,4.0,1944.0,43.03239203148352,40-49,722.0,7.0,5,5,10,10.0,5.0,5.0,2.0,1.375,0.0,4.225773238620951E-4,0.1111111111111111,1.0,285,522,3.334136855409509E-4,3.594924E-5,3.6416164E-5,376,1,0
257144050,ZachFleish,10.0,1024.0,249.0,484.0,3.0,5.0,38.201197463993836,30-39,593.0,5.0,5,1,6,6.0,5.0,1.0,7.0,2.9203213927017075,53.95913692047159,0.0026027062984903962,0.06666666666666667,0.13333334,0,135,1.1299770541326913E-4,4.194078E-5,4.2485524E-5,279,3,0
138585158,Bill5250,10.0,25348.0,959.0,1031.0,46.0,439.0,47.98438246892746,40-49,785.0,9.0,4,3,7,7.0,4.0,3.0,7.0,3.453297623033144,14.207568193238766,4.582631576164877E-4,0.023809523809523808,0.16666667,0,135,1.8628248301746542E-4,2.99577E-5,3.0346804E-5,279,26,0
