Twitter ID,Score,Num Tweets,Num tweets including at least one term
16178972,0,204,0
464918785,0,201,0
28127520,1,204,1
481033058,10,199,6
14826248,0,200,0
963122683,0,209,0
353460946,1,201,1
70184896,0,200,0
487144919,0,201,0
18156244,1,203,1
249421095,1,205,1
275699060,0,226,0
27485292,0,202,0
490519631,0,204,0
21610572,0,202,0
282277983,0,201,0
322356264,0,199,0
1137791304,0,208,0
26344705,0,208,0
31623014,19,200,18
71446721,0,200,0
1049348168,0,199,0
201785220,1,200,1
160356798,11,199,10
16276647,0,212,0
15726720,0,200,0
716501756,0,202,0
703965512,2,200,2
16437983,2,200,2
16474992,0,201,0
63258578,0,201,0
175121830,0,198,0
250159277,0,201,0
282894960,2,259,2
216609343,0,230,0
32745985,1,245,1
30026134,1,200,1
17300745,2,200,2
22787990,1,204,1
369757190,0,200,0
499819985,0,201,0
1098099410,0,113,0
251256864,0,206,0
948163202,0,200,0
131859786,1,205,1
200037786,0,251,0
408867671,3,201,3
132993708,1,202,1
249128266,1,199,1
581438207,8,204,8
737364186,0,200,0
27272767,0,200,0
553747738,11,200,11
861645158,0,572,0
606653450,0,293,0
227464980,0,200,0
240988612,0,201,0
403007460,0,201,0
348195475,0,201,0
832349402,5,216,5
731817787,0,201,0
221613684,0,200,0
64946383,0,200,0
76919759,1,314,1
228232989,0,200,0
367960701,0,199,0
98471835,2,201,2
245477839,0,200,0
175481424,2,200,2
284725852,4,200,4
17116017,1,215,1
1214680596,0,179,0
23399192,0,201,0
594525433,0,200,0
30935659,17,200,17
331272785,1,202,1
163217488,0,213,0
255067647,0,221,0
270889394,2,278,2
327533387,20,204,17
137508424,0,200,0
428057122,0,206,0
285771480,1,207,1
633057774,0,88,0
19221008,0,204,0
30264222,0,199,0
363490877,0,144,0
485063311,0,200,0
224922810,0,162,0
94125725,0,200,0
274606474,0,204,0
47845089,1,199,1
468732172,0,199,0
286985249,9,203,8
10206822,0,201,0
80474440,1,212,1
248412992,1,209,1
94900143,0,201,0
848955582,1,199,1
371094771,1,211,1
79746968,0,200,0
45214513,0,200,0
418032965,3,200,3
251015682,0,200,0
272237849,0,201,0
900667856,1,202,1
408143683,0,199,0
1250157301,1,202,1
44708852,0,201,0
1230441554,0,196,0
18967986,5,203,4
944576364,0,200,0
195978878,0,201,0
950291354,0,200,0
84969179,2,202,2
953027875,0,201,0
365561959,0,200,0
1237059938,0,238,0
278768935,0,199,0
15881932,0,199,0
820890391,0,201,0
56164159,0,201,0
596734648,0,201,0
463489747,7,200,7
409886625,0,201,0
19812883,5,209,4
132021619,1,200,1
967227373,0,205,0
1156300052,1,196,1
399714083,0,203,0
313584539,0,200,0
558965990,0,200,0
24697131,0,199,0
277263155,1,201,1
14360480,0,200,0
128514866,0,200,0
239489739,0,250,0
222178281,0,202,0
266987043,0,200,0
431886597,0,196,0
297944158,0,200,0
262689657,0,200,0
204584481,0,201,0
97820008,0,205,0
635074627,0,200,0
559888611,0,200,0
50656896,0,198,0
50285275,0,201,0
41186732,0,213,0
209693045,3,207,3
22976448,7,215,7
19088288,0,201,0
247571455,0,199,0
342281222,0,200,0
14819714,1,204,1
279655508,0,201,0
391997276,0,200,0
91158266,0,201,0
259330135,3,201,3
15278776,4,211,4
431504592,0,227,0
259226302,0,200,0
139880319,0,199,0
112755355,5,200,5
95268418,0,209,0
609037714,0,201,0
526913370,0,203,0
247478131,4,222,4
220778300,3,202,3
296350580,5,200,5
40448657,0,200,0
281276278,0,200,0
279237257,0,200,0
250282374,1,200,1
754052142,64,199,63
267728489,0,200,0
251564109,0,200,0
326235711,0,201,0
412692285,2,200,2
41156065,0,200,0
102570249,0,199,0
254388885,2,200,2
130571649,0,202,0
425252248,1,200,1
25121600,0,200,0
17031126,0,200,0
336221845,0,105,0
185777196,3,200,3
252109262,0,201,0
16025963,0,202,0
211223603,0,200,0
48350044,0,200,0
446682479,1,201,1
426905638,0,201,0
622198555,0,200,0
144876537,0,210,0
169236244,3,200,3
40697478,0,202,0
146060152,0,204,0
567663996,2,212,2
87152213,0,200,0
397288315,0,200,0
283590835,0,200,0
1160587963,0,200,0
860654623,0,203,0
45637133,18,200,17
38038939,5,200,5
22244391,23,200,23
273201959,3,205,3
523219348,1,197,1
