id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,old_clustering,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score,cluster_diff
78627903,ChristianConsrv,10,3245,357,75,15,7,51.9629449642,50-59,697,6,30,4,34,34,30,4,7,3.4432624113,3258.3325126621,0.2052328606,0.068627451,0.123655915,0,59,9.286022778118823E-4,8.385631E-4,8.551488E-4,66,0.23142858,69,0,200,0,0,-0.107772665
37346747,mjeso,10,1883,1010,1799,27,36,50.210535672,50-59,672,6,66,83,149,149,66,83,7,2.7881205674,64564.3722978238,0.2832508669,0.033557047,0.13345544,0,59,0.0013483804,0.0018123783,0.0018482249,330,0.24170406,65,1,200,1,0.005,-0.10824862
273791831,gwenomahony,10,599,714,207,35,0,51.2069558925,50-59,716,4,62,7,69,69,62,7,8,3.6258865248,4638.8421418928,0.2268322423,0.0937766411,0.17281106,0,59,0.0014070801,0.0017041765,0.0017378831,330,0.2810891,217,0,200,0,0,-0.10827804
792824815,TanisCrosby,10,11,50,24,0,0,36.4759017607,30-39,453,1,17,1,18,18,17,1,8,4.4308510638,33.3963644801,0.0535999307,0.2745098039,0.52205884,0,59,3.600341377190259E-4,4.869076E-4,4.96538E-4,322,0.6304348,56,0,15,0,0,-0.10837596
353398631,njellan,10,930,144,313,0,140,45.4887677406,40-49,608,6,17,27,44,44,17,27,7,3.2194148936,5207.7724541706,0.0537735024,0.0406976744,0.13118279,0,59,3.19061449692076E-4,4.869076E-4,4.96538E-4,330,0.23980497,27,0,200,0,0,-0.10862218
141246833,brendajeans,10,1757,171,270,5,34,38.8824744136,30-39,588,6,20,11,31,31,20,11,7,3.5483156028,2626.8069039087,0.0526145645,0.052688172,0.17619048,0,59,6.053774387479333E-4,5.6805887E-4,5.7929434E-4,320,0.28506494,24,0,200,0,0,-0.10887446
265604273,CityThink,10,3198,466,600,12,14,55.7138042887,50-59,680,6,7,4,11,11,7,4,8,3.8031914894,703.2309726744,0.0297047781,0.1090909091,0.2361111,0,59,2.23160748404478E-4,2.1640338E-4,2.2068356E-4,320,0.345,11,0,201,0,0,-0.1088889
62139614,JDarwin,10,2305,102,465,2,649,34.1282650481,30-39,536,6,7,9,16,16,7,9,7,3.1968085106,260.3136103905,0.0533649236,0.0666666667,0.20454545,0,59,1.323409601535323E-4,2.1640338E-4,2.2068356E-4,446,0.31349206,3,1,200,1,0.005,-0.10894661
16075594,TicknerSafety,10,6556,198,116,3,14,47.474083749,40-49,696,7,6,4,10,10,6,4,7,3.8874113475,194.8715696804,0.0218219642,0.0888888889,0.15277778,0,59,1.244648648382096E-4,1.8935296E-4,1.9309812E-4,320,0.26190478,45,0,200,0,0,-0.109127
14900584,jplett,10,5775,492,596,12,35,60.0671861623,60-69,695,7,28,34,62,62,28,34,7,3.0540780142,12394.2734329021,0.1133176033,0.0343733474,0.16470589,0,59,5.122270323482824E-4,7.8446226E-4,7.999779E-4,330,0.2739343,54,0,199,0,0,-0.10922841
626639419,politicalpoints,10,1986,746,621,9,1,51.2228437082,50-59,675,5,75,89,164,164,75,89,6,2.6161347518,112874.019245238,0.2918409767,0.0147762981,0.03746309,0,59,0.0013269876,0.0020558322,0.0020689084,446,0.14686279,54,2,202,2,0.0099009901,-0.1093997
35162290,140notes,10,2542,157,168,3,66,41.8273080628,40-49,637,5,4,5,9,9,4,5,7,3.5252659574,130.5725059877,0.0353551077,0.0833333333,0.36666667,0,59,1.3570353524060535E-4,1.352521E-4,1.3792723E-4,66,0.47619048,3,0,200,0,0,-0.10952381
1043296272,anoncdn,10,2151,217,325,0,94,50.8192549519,50-59,668,7,5,3,8,8,5,3,8,3.7606382979,3401.2017702796,0.0070557184,0.0357142857,0.06666667,0,59,1.7156944642810962E-4,1.6230253E-4,1.3792723E-4,446,0.17619048,72,0,202,0,0,-0.10952381
609603108,RobPaulX,10,3507,95,352,0,1011,43.743790845,40-49,649,7,2,7,9,9,2,7,7,3.3532801418,842.1915377672,0.016425938,0.0972222222,0.21428572,0,59,1.629092554835868E-4,8.1151265E-5,8.2756334E-5,446,0.32380953,8,0,201,0,0,-0.10952381
26776939,mertonwa,10,339,71,134,0,3,31.2463578336,30-39,402,3,6,5,11,11,6,5,7,3.6267730496,100.6829544956,0.0166125553,0.1181818182,0.47619048,0,59,2.2930607820702105E-4,1.8935296E-4,1.9309812E-4,320,0.5857143,9,0,200,0,0,-0.10952382
239409320,kevinkindred,10,4712,1467,491,50,210,49.6717275373,40-49,785,8,26,12,38,38,26,12,7,3.3878546099,11184.2792534966,0.0941613221,0.0725462304,0.21296297,0,59,8.091340703325182E-4,7.303614E-4,7.4480707E-4,322,0.32256895,9,0,200,0,0,-0.10960598
