id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,knowledge_count
57568642,WayneFougere,10.0,3043.0,156.0,523.0,4.0,4.0,41.16847475098239,40-49,665.0,6.0,6,38,44,44.0,6.0,38.0,7.0,2.565758493104608,46.813352233383256,0.018297454827914544,0.23784355179704017,0.44551283,0,67,7.570624297740347E-5,4.194078E-5,4.2485524E-5,220,2,0
76114077,CommonSenseSoc,10.0,83975.0,1642.0,1184.0,100.0,41.0,46.323843314221314,40-49,862.0,10.0,83,75,158,158.0,83.0,75.0,7.0,2.3582240161453076,23958.648601868437,0.09130563904284102,0.03849875030234621,0.18656899,0,67,3.8007862848041203E-4,5.0328934E-4,5.098263E-4,141,66,0
509633597,DavidScottson,10.0,153.0,100.0,292.0,1.0,10.0,21.63340944348873,20-29,372.0,3.0,1,7,8,8.0,1.0,7.0,8.0,3.146653212243525,7.327686262658709,2.884482116448195E-4,0.23214285714285715,0.54761904,0,67,4.9285300708083014E-5,1.198308E-5,1.2138721E-5,220,2,0
28893318,sabrinasoti,10.0,20291.0,742.0,1299.0,24.0,587.0,47.10401719289362,40-49,722.0,8.0,21,45,66,66.0,21.0,45.0,7.0,2.7716111671712076,753.826454095584,0.013824342957700379,0.13449883449883449,0.32367346,0,67,1.1982029882515193E-4,1.3181388E-4,1.3352593E-4,141,15,1
21422925,newcybersol,10.0,5545.0,181.0,581.0,4.0,9.0,47.26323759518923,40-49,676.0,7.0,2,5,7,7.0,2.0,5.0,8.0,3.1469895728220654,3097.8208630616778,7.761484149687563E-4,0.09523809523809523,0.25,0,67,6.490196350534426E-5,1.797462E-5,1.8208082E-5,141,12,0
111088978,SpaTimeEdmonton,10.0,69.0,38.0,229.0,2.0,0.0,37.43101410731069,30-39,409.0,4.0,1,3,4,4.0,1.0,3.0,8.0,3.2939791456441303,0.0,8.015197331703306E-5,0.16666666666666666,0.5,0,67,5.5813821265702704E-5,1.198308E-5,1.2138721E-5,141,15,0
198674651,kreynolds118,10.0,1939.0,444.0,421.0,16.0,31.0,47.28522125090066,40-49,647.0,5.0,44,35,79,79.0,44.0,35.0,8.0,2.6289942818701646,463.9436645987251,0.04314661689276223,0.12122687439143136,0.2983051,0,67,2.2645368823385434E-4,2.696193E-4,2.7312123E-4,202,21,1
22372121,TraceyKent,10.0,39658.0,1782.0,1893.0,63.0,128.0,53.8351843938871,50-59,807.0,9.0,295,360,655,655.0,295.0,360.0,8.0,2.1083081062899427,55511.04475805928,0.35474784790814823,0.04447323575413778,0.1618241,0,67,0.0010402262368419464,0.0017734958,0.0017965308,75,334,0
14560819,amymyoung,10.0,44319.0,737.0,594.0,112.0,41.0,54.1532016304168,50-59,775.0,9.0,5,5,10,10.0,5.0,5.0,8.0,3.003363605785402,4.259173705843008,0.006017256782834488,0.06666666666666667,0.6,0,67,6.213639989472136E-5,3.594924E-5,3.6416164E-5,202,7,0
41870206,Momforchoice,10.0,6506.0,766.0,656.0,44.0,8.0,54.682798008438944,50-59,715.0,7.0,37,50,87,87.0,37.0,50.0,7.0,2.3824419778002017,869.571777953336,0.0715249206024821,0.10117615610799252,0.33459964,0,67,2.3200496133548893E-4,2.2767852E-4,2.306357E-4,75,4,0
359788259,mangoparent,10.0,6741.0,891.0,1759.0,21.0,6.0,37.14565801777763,30-39,709.0,7.0,53,159,212,212.0,53.0,159.0,7.0,2.230070635721493,9382.351839696457,0.06734434657331465,0.08799070016990074,0.22476415,0,67,2.047258268168257E-4,3.2354315E-4,3.2774548E-4,220,12,1
860415787,83Cindylee,10.0,5209.0,1516.0,1534.0,41.0,599.0,56.23651093350917,50-59,697.0,7.0,11,13,24,24.0,11.0,13.0,8.0,3.0077362933064244,99.29194259517618,0.0027065062618173053,0.09782608695652174,0.6282051,0,67,1.440616508295392E-4,7.189848E-5,7.283233E-5,75,2,0
286278904,bailey_jade,10.0,1260.0,103.0,219.0,0.0,1022.0,38.593338157639565,30-39,569.0,5.0,3,3,6,6.0,3.0,3.0,8.0,3.079381096535486,5.372395420965924,0.0024872528045977154,0.0,0.0,0,67,5.453962795646596E-5,2.396616E-5,2.4277442E-5,75,6,0
1264972752,MsMeganMack,10.0,129.0,30.0,192.0,0.0,20.0,26.201897994224787,20-29,137.0,4.0,0,4,4,4.0,0.0,4.0,8.0,3.167787491593813,0.0,0.0,0.25,0.33333334,0,668,4.4780486537007367E-5,0.0,6.0693606E-6,202,0,0
436366250,DanielleDozier,10.0,4038.0,1489.0,114.0,53.0,67.0,55.19167903343191,50-59,739.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367,669,4.4780486537007367E-5,0.0,0.0,380,1,0
336821732,CharleneDesroch,10.0,12657.0,270.0,107.0,8.0,17.0,48.96144139342545,40-49,749.0,8.0,42,21,63,63.0,42.0,21.0,8.0,2.8819374369323913,299.2182248902452,0.0341559031599082,0.12160778289810548,0.2909804,0,67,2.1408919577667681E-4,2.5763622E-4,2.6098252E-4,75,129,0
15966995,l_stone,10.0,4178.0,3327.0,2298.0,149.0,8.0,60.14067925606276,60-69,741.0,6.0,253,115,368,368.0,253.0,115.0,7.0,2.3925327951564075,8408.080143827974,0.34309353609855836,0.08295818031038976,0.18072172,0,67,0.002226173789503644,0.0015218512,0.0015294789,141,103,3
124302756,VassyKapelos,10.0,19517.0,6623.0,3950.0,182.0,793.0,60.70446006128005,60-69,799.0,8.0,165,151,316,316.0,165.0,151.0,7.0,2.323915237134208,35563.71596964706,0.136390773187794,0.04334940727345791,0.13974823,0,67,0.0013958833896257244,9.945956E-4,0.0010075138,141,118,2
325184070,Lady_KK_,10.0,465.0,251.0,235.0,14.0,98.0,35.99183925359432,30-39,501.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368,670,4.4780486537007367E-5,0.0,0.0,381,7,0
291626846,AnnieClaireBO,10.0,2712.0,461.0,861.0,24.0,15.0,45.81330608005721,40-49,659.0,6.0,14,27,41,41.0,14.0,27.0,8.0,2.8187016481668348,41.41675661833144,0.03790522272273063,0.22621951219512196,0.56534094,0,67,2.1165141851150424E-4,8.98731E-5,9.104041E-5,220,15,3
150419399,aballinga,10.0,2851.0,464.0,805.0,16.0,8.0,46.595578882175175,40-49,631.0,6.0,11,29,40,40.0,11.0,29.0,8.0,2.9078372014799867,68.3837091021927,0.02084675068301824,0.23076923076923078,0.43492064,0,67,1.315293335027093E-4,7.189848E-5,7.283233E-5,220,5,0
121651119,pavlosky4,10.0,24379.0,934.0,1033.0,7.0,664.0,52.35040220897343,50-59,778.0,8.0,3,4,7,7.0,3.0,4.0,4.0,2.5,21528.333333333336,2.4058336946225224E-4,0.023809523809523808,0.083333336,0,24,2.1360904807522066E-4,2.396616E-5,2.4277442E-5,232,15,0
517877177,Sindical_cl,10.0,694.0,205.0,302.0,1.0,2.0,42.00524221539512,40-49,542.0,4.0,0,2,2,2.0,0.0,2.0,2.0,1.7142857142857142,0.0,0.0,0.0,0.0,0,671,6.79464955354548E-5,1.198308E-5,1.2138721E-5,232,14,0
1222500780,FabienLeonard,10.0,10.0,11.0,48.0,0.0,0.0,12.482471947757297,10-19,10.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369,672,4.4780486537007367E-5,0.0,0.0,382,0,0
54766840,MALeclerc_,10.0,586.0,228.0,514.0,4.0,0.0,37.53707617748499,30-39,565.0,3.0,2,16,18,18.0,2.0,16.0,8.0,2.9640094180961993,0.6719992981222551,0.002941368620922917,0.2908496732026144,0.5183824,0,67,5.016466750424932E-5,1.797462E-5,1.8208082E-5,202,0,0
37912191,japeworthy,10.0,581.0,19.0,35.0,1.0,6.0,18.702901036323787,10-19,378.0,3.0,4,12,16,16.0,4.0,12.0,8.0,2.7336024217961654,1.4368543351949634,0.011491868926187181,0.2125,0.54545456,0,67,6.165495409841676E-5,2.99577E-5,3.0346804E-5,202,1,13
20273815,AudreyHuntley,10.0,16848.0,1824.0,627.0,187.0,2.0,54.7696391976196,50-59,764.0,7.0,66,28,94,94.0,66.0,28.0,8.0,2.7151025899764547,988.9815135457983,0.06996656998051211,0.09746053534660261,0.20646021,0,67,3.399243594196883E-4,4.0143318E-4,4.0664716E-4,75,45,0
1157726496,newgenparty,10.0,28.0,64.0,40.0,0.0,9.0,26.495003612471322,20-29,320.0,1.0,4,4,8,8.0,4.0,4.0,8.0,2.9683821056172217,53.16109989231578,0.00872315077365443,0.10714285714285714,0.2,0,67,1.1935649640801285E-4,2.99577E-5,3.0346804E-5,220,5,0
610370629,davidstuckless,10.0,135.0,9.0,25.0,0.0,0.0,22.57116505778913,20-29,340.0,3.0,1,1,2,2.0,1.0,1.0,9.0,3.6865119408005382,0.0,1.4736033346394022E-4,0.0,0.0,0,67,5.036056706056615E-5,1.198308E-5,1.2138721E-5,75,0,0
380382923,Exigenomicon,10.0,2031.0,157.0,274.0,4.0,14.0,39.35754901084444,30-39,619.0,5.0,28,56,84,84.0,28.0,56.0,7.0,2.4951227716111672,412.8013395135134,0.0542802390659555,0.1642283419391853,0.36896402,0,67,1.386646916309634E-4,1.7375466E-4,1.7601145E-4,202,7,10
494331490,Rhino_Bob,10.0,14828.0,247.0,215.0,7.0,250.0,51.12257009365393,50-59,756.0,8.0,15,12,27,27.0,15.0,12.0,8.0,2.839556004036327,85.50771703806801,0.015074946215042954,0.09971509971509972,0.2099567,0,67,8.46336558002605E-5,9.586464E-5,9.710977E-5,202,60,0
33662678,ashleyynicole94,10.0,3036.0,272.0,258.0,0.0,565.0,42.633168833559296,40-49,686.0,6.0,2,2,4,4.0,2.0,2.0,1.0,1.0,0.0,1.5297128296081088E-4,0.08333333333333333,1.0,370,673,2.985240256774393E-4,1.797462E-5,1.8208082E-5,383,22,0
455306009,coarirae,10.0,6598.0,351.0,206.0,0.0,1709.0,34.02856800202296,30-39,719.0,7.0,2,2,4,4.0,2.0,2.0,1.0,1.0,0.0,1.5297128296081088E-4,0.08333333333333333,1.0,370,673,2.985240256774393E-4,1.797462E-5,1.8208082E-5,383,27,0
66112820,Calculator60,10.0,8571.0,298.0,229.0,4.0,3.0,44.03151987330403,40-49,661.0,7.0,12,16,28,28.0,12.0,16.0,7.0,2.7796838210561723,91.2258797513973,0.012719223396513123,0.15476190476190477,0.3201581,0,67,8.920680992051467E-5,7.789002E-5,7.8901685E-5,141,23,0
145647271,telfordk,10.0,2366.0,1289.0,806.0,21.0,4.0,51.49317153021392,50-59,684.0,6.0,156,95,251,251.0,156.0,95.0,7.0,2.458795829128826,3680.1109958146894,0.2155663990973309,0.11405577689243028,0.25126904,0,67,0.0012574758453529422,9.406718E-4,9.528896E-4,220,96,1
225141669,WaterPortal,10.0,2134.0,876.0,618.0,46.0,16.0,50.986310224553854,50-59,667.0,5.0,14,13,27,27.0,14.0,13.0,8.0,2.8005381769256643,371.68025042124026,0.011291397866333668,0.039886039886039885,0.18333334,0,67,1.1241291786200411E-4,8.98731E-5,9.104041E-5,230,25,0
29591741,donnwatt,10.0,66.0,19.0,36.0,0.0,1.0,12.899402793452815,10-19,129.0,2.0,0,2,2,2.0,0.0,2.0,8.0,3.696032279757902,0.0,0.0,0.5,0.5,0,674,4.4780486537007367E-5,0.0,6.0693606E-6,141,0,0
43740286,alisoncrawford5,10.0,2621.0,6596.0,539.0,371.0,1.0,59.72073716793276,50-59,733.0,5.0,449,65,514,514.0,449.0,65.0,8.0,2.5946855028590647,4917.788774508712,0.49906946148018794,0.07210958654743213,0.11757993,0,67,0.0026065130680000296,0.002696193,0.0027008655,220,65,3
93212217,roysmolinski,10.0,248.0,67.0,211.0,1.0,74.0,23.01135968834842,20-29,466.0,3.0,9,22,31,31.0,9.0,22.0,8.0,2.691220988900101,32.557812414127454,0.009202263991897107,0.14623655913978495,0.3460145,0,67,6.125186625963274E-5,5.99154E-5,6.069361E-5,75,1,1
42896073,RichardMadan,10.0,4003.0,7419.0,1453.0,393.0,0.0,60.15008053016202,60-69,771.0,6.0,416,103,519,519.0,416.0,103.0,7.0,2.4305415405314497,13433.76630775229,0.49414838185799737,0.06805856227821545,0.13225803,0,67,0.0029649917958426038,0.002498472,0.0024945072,220,133,7
20611338,paulvieira,10.0,40094.0,3253.0,1376.0,188.0,104.0,57.67647965419857,50-59,787.0,8.0,168,47,215,215.0,168.0,47.0,7.0,2.702993609149008,3875.5234425071562,0.24618252948061448,0.10117365790045642,0.20860428,0,67,0.0015951790231735104,0.0010125702,0.0010196526,220,187,0
1089926084,MonetteScott,10.0,1394.0,24.0,225.0,0.0,66.0,44.78770536581902,40-49,563.0,6.0,0,9,9,9.0,0.0,9.0,8.0,2.9314055144586417,0.0,0.0,0.3611111111111111,0.5972222,0,675,4.4780486537007367E-5,0.0,6.0693606E-6,220,40,0
17583572,tinapittaway,10.0,24981.0,2057.0,2262.0,110.0,1843.0,58.75742850664295,50-59,778.0,8.0,98,128,226,226.0,98.0,128.0,7.0,2.3525058863101243,3788.7765651508644,0.18987861806657613,0.09046214355948869,0.28259373,0,67,8.620164186191404E-4,5.9316243E-4,6.008667E-4,220,17,1
40536415,Lancecote,10.0,3786.0,82.0,231.0,0.0,54.0,41.14732874140932,40-49,646.0,6.0,3,0,3,3.0,3.0,0.0,0.0,0.0,0.0,0.002419467755667167,0.16666666666666666,0.33333334,0,49,5.009564877268508E-5,2.396616E-5,0.0,75,7,0
710248489,Emily_Jean_12,10.0,964.0,187.0,188.0,0.0,503.0,39.95991902206862,30-39,600.0,5.0,2,2,4,4.0,2.0,2.0,1.0,1.0,0.0,1.5297128296081088E-4,0.08333333333333333,1.0,370,673,2.985240256774393E-4,1.797462E-5,1.8208082E-5,383,28,0
160073664,rjmjanes,10.0,3898.0,401.0,564.0,21.0,4.0,55.815667974218165,50-59,642.0,6.0,22,42,64,64.0,22.0,42.0,8.0,2.570803901782711,479.24119422183225,0.029089570347474634,0.10788690476190477,0.24857143,0,67,1.3987522583810532E-4,1.3780541E-4,1.395953E-4,75,2,0
