Twitter ID,Interaction count
78641250,160
75436573,11
436158344,0
393056809,0
462214859,75
38494251,0
587138551,18
41378883,56
1186454012,44
1191396000,19
358291440,13
273704144,2
821734045,59
195000753,45
28286822,38
1075087957,12
22853441,2
607531851,35
49707617,171
513739938,19
444262205,46
494580521,10
18681012,35
29864721,0
370384969,60
756913038,11
16178972,18
464918785,0
28127520,5
481033058,30
14826248,5
963122683,70
353460946,24
70184896,26
487144919,1
18156244,52
249421095,104
275699060,618
27485292,38
490519631,16
21610572,3
282277983,73
322356264,1
1137791304,36
26344705,323
31623014,146
71446721,13
1049348168,0
201785220,12
160356798,14
16276647,56
15726720,91
716501756,57
703965512,5
16437983,29
16474992,10
63258578,12
175121830,0
250159277,5
282894960,449
216609343,95
32745985,398
30026134,1
17300745,8
22787990,37
369757190,24
499819985,7
1098099410,19
251256864,356
948163202,0
131859786,8
200037786,0
408867671,3
132993708,12
249128266,91
581438207,6
737364186,9
27272767,4
553747738,43
861645158,4
606653450,0
227464980,30
240988612,0
403007460,2
348195475,2
832349402,3
731817787,0
221613684,1
64946383,1
76919759,1176
228232989,0
367960701,29
98471835,102
245477839,46
175481424,90
284725852,99
17116017,104
1214680596,2
23399192,42
594525433,45
30935659,83
331272785,24
163217488,288
255067647,188
270889394,1158
327533387,29
137508424,8
428057122,15
285771480,93
633057774,3
19221008,26
30264222,55
363490877,0
485063311,2
224922810,1
94125725,59
274606474,81
47845089,16
468732172,0
286985249,25
10206822,10
80474440,48
248412992,86
94900143,51
848955582,10
371094771,112
79746968,10
45214513,1
418032965,5
251015682,7
272237849,45
900667856,14
408143683,64
1250157301,0
44708852,19
1230441554,44
18967986,261
944576364,23
195978878,0
950291354,15
84969179,198
953027875,0
365561959,2
1237059938,5
278768935,12
15881932,2
820890391,0
56164159,1
596734648,20
463489747,330
409886625,2
19812883,85
132021619,14
967227373,45
1156300052,1
399714083,43
313584539,0
558965990,0
24697131,4
277263155,43
14360480,8
128514866,5
239489739,26
222178281,38
266987043,19
431886597,16
297944158,4
262689657,12
204584481,3
97820008,8
635074627,9
559888611,17
50656896,8
50285275,89
41186732,121
209693045,32
22976448,0
19088288,78
247571455,2
342281222,2
14819714,9
279655508,277
391997276,15
91158266,51
259330135,96
15278776,256
431504592,47
259226302,1
139880319,24
112755355,53
95268418,163
609037714,0
526913370,27
247478131,9
220778300,19
296350580,21
40448657,0
281276278,22
279237257,6
250282374,16
754052142,44
267728489,5
251564109,8
326235711,149
412692285,17
41156065,0
102570249,7
254388885,0
130571649,110
425252248,10
25121600,0
17031126,13
336221845,0
185777196,60
252109262,6
16025963,0
211223603,8
48350044,21
446682479,14
426905638,23
622198555,0
144876537,98
169236244,2
40697478,94
146060152,74
567663996,70
87152213,8
397288315,1
283590835,3
1160587963,17
860654623,39
45637133,272
38038939,18
22244391,56
273201959,32
523219348,43
251116380,34
74660931,36
201747020,7
312568240,60
105358446,1
347321914,0
1239757610,5
356378265,40
25869252,37
156280432,28
277316485,15
414199653,6
368839993,0
147774520,74
131589912,15
56690455,11
85446321,88
271475860,219
146530868,13
279623396,11
63542749,1
105391738,63
486194640,249
461633566,9
225438673,6
227245275,0
325022623,117
28569095,6
376499821,9
993020562,1
976907744,10
6034422,16
244600462,2
41532121,22
286723230,140
85118235,1
273280868,7
13699242,96
608283021,114
274090688,0
90173213,36
404385781,60
106285121,131
707512603,3
15569103,192
16458926,12
321871451,66
471078603,14
324086895,195
16220555,2090
627055000,437
820865316,2
106790430,28
591150170,0
27682432,24
342867480,37
18881147,0
460413702,2
537867910,53
318550526,0
405695721,1
634874281,29
254749458,3
17546396,17
105911241,80
108743813,96
125417632,25
214324469,20
518011368,3
519737251,76
981391872,73
872059213,22
772708915,44
366565098,4
385760695,13
350961252,40
46919079,87
86203783,17
30310478,23
379207097,136
278789553,26
302873036,0
376889920,17
618286828,0
161783335,24
14538949,296
1038301598,20
444788886,0
19006592,38
542706706,13
239993455,8
811289166,247
758049516,0
208706267,8
313465906,8
239478762,19
960221840,30
811236194,42
378066853,105
218987872,19
256215901,6
154592265,67
48415266,9
716197484,8
268538413,124
27261031,18
102716123,186
145524578,69
1071955452,75
113690283,32
375290882,25
70215225,6
1005258452,291
373670338,7
59114494,2
874887668,1
785739980,2
945691729,0
53400950,5
36175685,5
274300708,10
348863339,16
561264121,127
21545704,46
412997002,0
79187514,3
369027713,40
244085908,30
24116965,52
624500661,25
226376868,58
437673995,17
249264319,38
166398809,35
23648440,3
23159696,693
22279004,8
381069997,6
545311971,28
900604650,5
272517144,23
282252740,6
321968555,4
20753028,36
92783808,7
487981280,6
41831995,4
609603108,12
379576582,4
612496685,125
65308877,0
547888856,4
50672511,6
377540405,24
16969753,15
92579695,39
191422128,9
403372214,15
143188147,17
92834029,2
454472178,7
587873748,640
90783594,96
281582497,4
195419614,6
21889071,21
297568021,18
221355278,10
25127782,311
17257492,13
554872086,1
339722887,170
19661657,218
1028667224,21
603341720,14
287752788,193
196737461,8
398028301,3
501192516,9
275815874,13
338465827,1
260048608,20
387707281,2
1090036602,14
496192309,798
40397784,436
47501529,14
1250116735,2
470696857,2
501845170,22
221579366,29
360129829,125
258463599,2
386347049,0
745649389,0
70016558,114
14103001,1
575574447,4
454114632,31
135257089,13
1140070970,4
16801721,14
242975599,28
275529865,14
24784150,49
235783992,20
596610030,5
199354634,31
465200547,0
159578935,25
36711954,6
603227316,16
1254880027,20
30959934,5
