Id,Label,Statuses Count,Followers Count,Friends Count,Listed Count,Favourites Count,Klout Score,Klout Score Bucket,Kred Influence,Kred Outreach,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Clustering Coefficient,Component ID,Strongly-Connected ID,PageRank,Modularity Class,Authority,Hub,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,In-Degree,Out-Degree,Degree,Erdös Number
231957153,AgentK24,1085.0,60.0,65.0,0.0,160.0,38.222759590331606,30-39,576.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,134,284,4.766339181938244E-5,129,0.0,0.0,0.0,0.0,0.0,0,0,0,8
217177064,Elaine4mortgage,1306.0,278.0,398.0,9.0,3.0,45.16676895358599,40-49,625.0,5.0,9.0,4.473194505981391,0.0,0.0,0.0,0.0,0,285,4.766339181938244E-5,445,0.0,2.7585445E-5,1.0,0.0,1.0,0,1,1,5
277145358,johnrbolton1,2635.0,391.0,488.0,6.0,0.0,45.89260320952291,40-49,672.0,6.0,7.0,3.274822695035461,7586.912687051405,0.28370685860738665,0.09725158562367865,0.477208,0,110,1.6018393462963724E-4,63,6.492101E-4,6.620507E-4,44.0,23.0,21.0,23,21,44,4
201265978,DoubleTAP49,11841.0,687.0,1363.0,25.0,710.0,39.13221710081997,30-39,744.0,7.0,7.0,3.3843085106382977,679.4240310832367,0.08700320848349612,0.09615384615384616,0.3472222,0,110,6.531685747886615E-5,63,1.6230253E-4,1.6551267E-4,13.0,5.0,8.0,5,8,13,3
253382876,OccupyCoscienza,11735.0,617.0,971.0,14.0,1366.0,47.89750365705006,40-49,748.0,8.0,7.0,3.027482269503546,6846.013517961944,0.06810793100713264,0.017241379310344827,0.09150327,0,110,1.5742458311550808E-4,443,3.5165547E-4,3.586108E-4,30.0,12.0,18.0,12,18,30,3
21825027,DanFmTo,2267.0,124.0,241.0,8.0,178.0,51.00618424778181,50-59,658.0,6.0,8.0,3.907358156028369,96.51962253630536,0.04587170488908531,0.07272727272727272,0.12222222,0,110,9.28915383058573E-5,443,2.705042E-4,2.7585446E-4,11.0,9.0,2.0,9,2,11,3
332354960,guslitsas,1385.0,200.0,292.0,2.0,13.0,31.713727039273948,30-39,577.0,5.0,7.0,3.438386524822695,32.081958419931595,0.05052964108464166,0.07142857142857142,0.5,0,110,5.945968662237535E-5,63,1.0820169E-4,1.1034178E-4,7.0,3.0,4.0,3,4,7,4
22330357,Canadian_Hockey,21968.0,7695.0,33.0,397.0,0.0,49.637957161729496,40-49,736.0,5.0,0.0,0.0,0.0,0.011468141632576161,0.0,0.0,0,23,8.037676835998209E-5,443,2.1640338E-4,0.0,7.0,7.0,0.0,7,0,7,3
475390714,Qsmooth9,181.0,25.0,157.0,0.0,2.0,21.350774671020687,20-29,460.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,135,286,4.766339181938244E-5,130,0.0,0.0,0.0,0.0,0.0,0,0,0,8
1195118856,saleamen,50.0,15.0,125.0,0.0,2.0,25.128241004047652,20-29,135.0,2.0,0.0,0.0,0.0,0.0,0.0,0.48076922,136,287,4.766339181938244E-5,131,0.0,0.0,0.0,0.0,0.0,0,0,0,8
117247943,jafroese,58.0,9.0,25.0,0.0,2.0,16.757697162758546,10-19,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,137,288,4.766339181938244E-5,132,0.0,0.0,0.0,0.0,0.0,0,0,0,8
623174642,EmraldKatie,502.0,36.0,348.0,0.0,10.0,26.926019194754986,20-29,377.0,5.0,8.0,3.627659574468085,0.3833939821983317,0.03030171331251158,0.3,0.8,0,110,6.205124144410224E-5,63,8.1151265E-5,8.2756334E-5,6.0,2.0,4.0,2,4,6,4
1137791304,butthunder,364.0,17.0,20.0,0.0,108.0,13.441023816507503,10-19,533.0,4.0,7.0,3.6210106382978724,17.826655382534717,0.027094687647215926,0.14285714285714285,0.55,0,110,7.153150688431855E-5,443,1.6230253E-4,1.6551267E-4,7.0,5.0,2.0,5,2,7,4
861557418,vaughndobson,657.0,140.0,1005.0,0.0,15.0,25.985663014389914,20-29,397.0,4.0,7.0,3.523704031900753,0.0,0.0,0.06666666666666667,0.12222222,0,289,5.768865001645376E-5,63,0.0,2.7585445E-5,10.0,0.0,10.0,0,10,10,3
326540264,ps92264,11314.0,384.0,1657.0,2.0,33.0,45.60137816999609,40-49,713.0,8.0,8.0,3.4685283687943262,1258.237049499351,0.028821384440809804,0.11428571428571428,0.3409091,0,110,6.439001404130299E-5,63,1.0820169E-4,1.1034178E-4,15.0,3.0,12.0,3,12,15,3
123035624,WaffleWolfer,1446.0,22.0,23.0,2.0,31.0,24.753344175558126,20-29,584.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,138,290,4.766339181938244E-5,133,0.0,0.0,0.0,0.0,0.0,0,0,0,8
415126004,Rolfe_,1818.0,84.0,430.0,0.0,0.0,29.652809523959107,20-29,596.0,6.0,7.0,3.4224290780141846,57.704961495199676,0.023867176326397958,0.05357142857142857,0.2,0,110,7.805719482281215E-5,443,1.0820169E-4,1.1034178E-4,8.0,3.0,5.0,3,5,8,4
84702727,JTerr88,15402.0,1084.0,1140.0,40.0,26.0,,,759.0,8.0,7.0,3.2575354609929077,3888.849797367875,0.06122284538184418,0.05952380952380952,0.14166667,0,110,1.3319079096507893E-4,29,2.705042E-4,2.7585446E-4,21.0,9.0,12.0,9,12,21,2
