id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
73651314,dwalshmedia,10,21963,1046,1999,50,5,43.9473982889,40-49,768,9,25,40,65,65,25,40,6,2.6314265025,2379.0187516976,0.0289881693,0.1211538462,0.24040404,0,59,1.9253206608590553E-4,1.761458E-4,1.7828245E-4,182,15,0,208,0,0
73815018,andyradia,10,3045,711,2001,26,4,51.9504154032,50-59,677,6,84,194,278,278,84,194,6,2.1759594497,17815.3003018237,0.1289236153,0.083564917,0.19742443,0,59,5.203039090359992E-4,5.7586125E-4,5.8284646E-4,175,41,0,200,0,0
74179953,SimcoeNorthNDP,10,604,239,594,9,27,45.6035811163,40-49,616,5,84,179,263,263,84,179,6,2.2425778421,8280.7038804958,0.1118329205,0.1318027458,0.30593085,0,59,3.366762026224031E-4,5.7586125E-4,5.8284646E-4,25,73,7,201,7,0.0348258706
74227540,johnnyfriesen,10,10726,977,1109,41,2,49.4526762489,40-49,748,7,45,55,100,100,45,55,7,2.642288197,3548.7433746215,0.0507531408,0.1548484848,0.29331613,0,59,2.1675836677962777E-4,3.1164257E-4,3.154228E-4,175,25,0,200,0,0
74275413,KingstonNDP,10,667,268,295,16,1,40.629112562,40-49,530,5,79,20,99,99,79,20,7,2.7436640116,400.3754007021,0.0932844881,0.1731601732,0.30512017,0,59,3.0483411787877215E-4,5.419871E-4,5.485614E-4,25,29,0,200,0,0
74347962,theDaye,10,5404,784,1995,40,125,60.0745784965,60-69,651,7,30,108,138,138,30,108,6,2.2809558291,2057.9798313521,0.0379810123,0.1260975352,0.28073394,0,59,2.26190744320365E-4,2.1001999E-4,2.1256754E-4,175,5,0,200,0,0
74532855,lukasnorman,10,1377,244,192,1,171,37.5472509441,30-39,602,5,19,28,47,47,19,28,7,2.7776973208,140.0727569142,0.0171118995,0.1526364477,0.4606855,0,59,1.6162159323951128E-4,1.3549677E-4,1.3714035E-4,147,21,0,200,0,0
74660931,keithjs,10,9009,213,181,8,726,53.3031107818,50-59,728,8,26,23,49,49,26,23,7,2.6665459812,796.6343190532,0.0334191713,0.0480442177,0.16989248,0,59,1.7638693679776526E-4,1.8292063E-4,1.8513948E-4,175,21,0,201,0,0
75155945,GlobalSaskatoon,10,10556,6259,223,162,4,59.9453472761,50-59,785,6,29,20,49,49,29,20,7,2.9304851557,1357.4555062852,0.0203500324,0.0765306122,0.22352941,0,59,2.0633594562959067E-4,2.0324514E-4,1.9885351E-4,25,95,0,200,0,0
75190893,kylecmatthews,10,14482,953,1200,33,74,51.9390740134,50-59,739,8,33,55,88,88,33,55,6,2.585807386,891.9200173409,0.0362932182,0.1485109718,0.27675676,0,59,1.9497594657999904E-4,2.303445E-4,2.3313859E-4,175,23,0,201,0,0
76215754,jansescape,10,968,132,87,1,3,31.4363585618,30-39,578,5,12,7,19,19,12,7,7,3.1364952933,26.7159042665,0.0134564373,0.1988304094,0.63736266,0,59,8.442057102321493E-5,8.80729E-5,8.914123E-5,182,7,0,200,0,0
76940591,goitsekonopi,10,6076,506,380,6,87,51.0390909899,50-59,722,7,1,1,2,2,1,1,9,4.9826212889,0,9.260397024517242E-5,0,0,0,59,1.4582508020379197E-4,1.3549677E-5,1.3714035E-5,131,11,0,200,0,0
77302546,DLynxleg,10,4426,94,311,2,577,44.2160730464,40-49,656,6,1,4,5,5,1,4,7,3.2422157857,0.3668149744,2.399419374534004E-4,0.2,0.5,0,59,5.012596746682805E-5,1.3549677E-5,1.3714035E-5,77,2,1,201,1,0.0049751244
77421074,ElaineCarol3,10,4458,240,139,11,700,40.7066833313,40-49,640,7,4,2,6,6,4,2,7,3.0897900072,22.6083819408,0.0108372409,0.1,0.41666666,0,59,9.377406436295081E-5,3.3874192E-5,3.4285087E-5,25,6,0,200,0,0
77716291,RolandGurney,10,1312,109,965,2,13,19.4320135962,10-19,461,4,0,4,4,4,0,4,7,3.3025696706,0,0,0.1666666667,0.25,0,151,4.766339181938244E-5,0,6.8570175E-6,182,1,0,200,0,0
