id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
273160093,darcymurray,10,3633,260,771,6,1,39.5906018223,30-39,576,7,10,32,42,42,10,32,7,2.6384332106,343.3825440327,0.0101338371,0.1881533101,0.3739496,0,66,8.212171267998962E-5,6.590694E-5,6.6762965E-5,390,14,0,199,0,0
273201959,Wetaskijen,10,20391,719,1046,22,334,40.310449396,40-49,749,8,81,138,219,219,81,138,6,2.5055239371,8717.8217180885,0.0590390984,0.0720330108,0.20446666,0,66,4.116967883636959E-4,4.913063E-4,4.9768755E-4,372,32,3,205,3,0.0146341463
273223103,MP_Host,10,180,65,451,0,13,34.9600922811,30-39,433,4,9,76,85,85,9,76,6,2.5480415132,183.0801836545,0.0081132006,0.2200280112,0.39935064,0,66,6.874678673118247E-5,5.99154E-5,6.069361E-5,372,10,3,200,3,0.015
273280868,RobinVan,10,4226,378,494,11,20,39.067235921,30-39,673,7,46,46,92,92,46,46,6,2.3863408102,1066.5422749814,0.0716982625,0.1029622551,0.3079254,0,66,2.098030520125596E-4,2.8160238E-4,2.8525994E-4,47,7,2,200,2,0.01
273283728,djvanbc,10,12,79,678,0,3,29.7246350936,20-29,462,5,2,0,2,2,2,0,0,0,0,0.0051610631,0.5,1,0,11,5.179837177470212E-5,1.797462E-5,0,390,0,0,1,0,0
273405104,Beari8it,10,86646,3188,3023,81,11747,55.5698875376,50-59,899,10,530,494,1024,1024,530,494,7,2.0589219953,133506.053118849,0.4696167878,0.0311096728,0.095326096,0,66,0.0016731262,0.0031815078,0.0032228306,47,1329,17,376,17,0.045212766
273479738,wcgirl2,10,28666,2505,1821,104,0,44.0581658879,40-49,803,9,14,15,29,29,14,15,7,2.953130231,1852.4178842322,0.0059713759,0.039408867,0.25714287,0,66,1.5250302234612838E-4,8.98731E-5,9.104041E-5,47,49,0,202,0,0
273537714,darshisel,10,488,230,202,2,0,32.6930612011,30-39,560,4,12,16,28,28,12,16,7,2.9457649816,160.3882490876,0.0103208761,0.1137566138,0.28809524,0,66,9.761706517671144E-5,7.789002E-5,7.283233E-5,390,5,2,198,2,0.0101010101
273625397,RedLabelRyan,10,274,12,32,0,14,18.6493146519,10-19,142,3,0,1,1,1,0,1,1,1,0,0,0,0,0,433,4.4780486537007367E-5,0,6.0693606E-6,390,1,0,199,0,0
273657076,fieldpro,10,2570,147,257,2,10,35.1067475235,30-39,643,6,16,28,44,44,16,28,6,2.7331771008,234.0449717167,0.0129475538,0.1041226216,0.42857143,0,66,1.1279567400486304E-4,1.0185618E-4,1.0317913E-4,372,4,0,200,0,0
273683993,Blubdha,10,49567,875,1913,30,873,45.9217954798,40-49,761,9,45,71,116,116,45,71,7,2.4643454972,4130.563392676,0.0541563983,0.0884557721,0.24537815,0,66,1.8283062902907837E-4,2.7561083E-4,2.791906E-4,47,35,0,202,0,0
