id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,Interaction count
451342293,Julian141096,10,5856,182,168,0,433,41.3636717895,40-49,684,6,1,1,2,2,1,1,1,1,0,8.095914281419891E-5,0,0,99,224,3.177448371356425E-4,1.3549677E-5,1.3714035E-5,90,10
452532683,jeelleaime,10,358,72,200,0,3,16.0397957794,10-19,311,2,30,76,106,106,30,76,6,2.4029688631,739.6219578131,0.0611920072,0.1752021563,0.42938873,0,59,1.8432734036347644E-4,2.1001999E-4,2.1256754E-4,25,5
453969676,vittorio_rago,10,116,108,127,0,0,26.3207133292,20-29,368,3,1,2,3,3,1,2,6,3.0769230769,0,8.635150752408161E-5,0.1666666667,1,42,307,1.3440100104600392E-4,1.3549677E-5,1.3714035E-5,197,0
454114632,smell3roses,10,6168,178,364,4,16,35.2921382426,30-39,644,7,53,71,124,124,53,71,6,2.423968139,1611.3167389357,0.0621990875,0.0666797797,0.29137355,0,59,1.7948236484276476E-4,3.6584126E-4,3.7027895E-4,77,16
454472178,AgLocal30048,10,1212,89,171,0,23,40.4385886832,40-49,575,5,23,37,60,60,23,37,6,2.4312092686,554.9191958003,0.0225444958,0.1251412429,0.29000926,0,59,1.3481422818380616E-4,1.6259612E-4,1.6456842E-4,182,37
454937559,CAPE_ACEP,10,2153,414,658,9,1,46.1268205419,40-49,659,4,60,132,192,192,60,132,6,2.2309920348,8757.0495183775,0.0796937341,0.085651178,0.22929086,0,59,2.736088575396638E-4,4.1326514E-4,4.1827807E-4,77,37
455050072,StevensParker,10,657,208,435,0,0,37.6634822695,30-39,592,4,91,136,227,227,91,136,6,2.3356263577,2611.0578956407,0.1367957788,0.1146543994,0.3326651,0,59,4.73618971163397E-4,6.2328513E-4,6.308456E-4,25,40
455831687,rafinhaahtg,10,738,540,1441,1,24,30.9094133087,30-39,459,4,0,0,0,0,0,0,0,0,0,0,0,0,19,89,4.766339181938244E-5,0,0,17,1
456984469,ACFO_TO,10,9139,879,1695,15,2,45.9048573275,40-49,651,8,14,37,51,51,14,37,6,2.6412020275,327.7068537963,0.0073078613,0.1090196078,0.25604552,0,59,1.0504350777663188E-4,1.0162257E-4,9.599824E-5,175,19
458031230,FWangabo,10,132,28,170,0,0,19.4529828025,10-19,215,3,0,0,0,0,0,0,0,0,0,0,0,0,176,379,4.766339181938244E-5,0,0,176,1
458617533,LindaWatson25,10,1635,47,42,0,4,16.143613449,10-19,526,6,2,4,6,6,2,4,7,3.3895727734,0,3.2459929469415885E-4,0.2,0.75,0,59,6.195135710800537E-5,2.0324514E-5,2.0571053E-5,25,7
458878672,DavidMZoulfy,10,1488,112,218,0,18,41.9582026763,40-49,638,6,0,0,0,0,0,0,0,0,0,0,0,0,38,118,4.766339181938244E-5,0,0,35,19
459643341,THEOJONA,10,3328,154,335,0,9,40.7552681113,40-49,625,6,3,4,7,7,3,4,9,4.811006517,3353.2985401287,3.6057127630241754E-4,0.119047619,0.6666667,0,59,3.230612663119275E-4,2.7099353E-5,2.742807E-5,131,2
459697389,AlanForseth,10,6009,317,573,9,145,46.3496200253,40-49,687,6,39,59,98,98,39,59,6,2.4963794352,6209.8587913008,0.0399517419,0.086892489,0.29672298,0,59,2.4517807979088644E-4,2.7099354E-4,2.742807E-4,182,9
459762459,AndreaBeal2,10,240,58,90,0,13,27.1090673999,20-29,502,4,6,17,23,23,6,17,7,2.734974656,2531.8867357125,0.0157484127,0.1660079051,0.39542484,0,59,1.2329759874092917E-4,4.742387E-5,4.799912E-5,25,4
459764228,Douglas_VH,10,1253,231,498,5,184,41.4163738851,40-49,602,5,6,22,28,28,6,22,7,2.6462708182,26.7162285508,0.0072343523,0.2195767196,0.44466403,0,59,6.475355221591128E-5,4.742387E-5,4.799912E-5,175,5
